TF	target	importance
Elf2	Ift140	74.47059055676931
Thrb	Klc1	74.45989165543037
Thrb	Frmpd4	74.4070990428568
Elf2	Fam129a	74.34248006608799
Elf2	Ralgapa1	74.32492384660053
Elf2	Zfp24	74.25634305519631
Elf2	Cpa2	74.23716860843014
Thrb	Fli1	74.18794231013077
Elf2	Adk	74.14541713789905
Thrb	Ranbp9	74.08508019540983
Thrb	Fam129a	74.07912618649237
Elf2	Tmem56	74.01348901044037
Thrb	Atp11b	73.87365200779976
Thrb	Pdcd6ip	73.6757039315412
Thrb	Arntl	73.64193701862362
Elf2	Aak1	73.63429061753261
Thrb	Wdfy2	73.5858140650361
Thrb	Cradd	73.4567772598317
Rarg	Rasgrp3	73.43622755188832
Thrb	Ptprj	73.3859030387719
Nr2f1	Id2	73.37524923092087
Elf2	Sarnp	73.34311977791627
Thrb	Mmp27	73.27285644132363
Elf2	Dnajc1	73.21578021385825
Thrb	Cspp1	73.20078307561394
Thrb	Coq9	73.19227946070542
Thrb	Cstf3	73.18736940776702
Thrb	Pank1	73.13218094522546
Rxrg	Sucla2	73.10332115942292
Elf2	Ncoa2	73.0733252489244
Thrb	Tial1	73.06649791192521
Thrb	Zmym2	72.99650232831543
Elf2	Pak2	72.92726871242277
Thrb	Sil1	72.89492982328893
Rarg	Entpd1	72.88355441692913
Elf2	Gm21887	72.82806594328744
Vdr	Gm13446	72.81474711042782
Thrb	Ptprd	72.81016742651099
Thrb	Lpcat3	72.72998272796427
Thrb	Gm4631	72.66619895574223
Thrb	Gstk1	72.51604674872429
Vdr	Adam22	72.37541233136226
Vdr	Rgs9	72.27313569835633
Elf2	Gpc4	72.04061465060843
Vdr	Gm28694	71.8990397894203
Elf2	Galnt7	71.71084555516332
Elf2	Gata6	71.67891447328282
Elf2	Wdfy3	71.52041273236306
Vdr	Pfkfb4	71.47797064796124
Elf2	Nipa2	71.2578256559332
Thrb	Dcaf6	71.23758744172841
Elf2	Eif4a1	71.20558313039628
Elf2	Htt	71.05151679543056
Thrb	Timm23	70.97806439957925
Thrb	Lonp1	70.97127220531183
Thrb	Kif13b	70.8449393064119
Thrb	Kcmf1	70.79971742152654
Thrb	Resf1	70.78893015744042
Elf2	Cbx1	70.70692022661822
Elf2	Kazn	70.65455127613104
Elf2	Rps6ka3	70.58649234816701
Thrb	Zfr	70.51396687889682
Elf2	St6galnac3	70.39633042789558
Thrb	Sdhb	70.28808880121692
Thrb	Slc25a20	70.23928611119514
Thrb	Atp6v0b	70.14164183611427
Thrb	Synj1	70.13763727530583
Thrb	Il34	69.93500749032316
Thrb	Larp4b	69.92418725826698
Thrb	Pan3	69.92385390276878
Thrb	Dcun1d5	69.89166054357133
Thrb	Mroh1	69.88179577071908
Thrb	Lrp5	69.87291534183507
Elf2	Acin1	69.8136878896315
Vdr	Clasp1	69.79112604198798
Rxrg	Slc25a20	69.77835243906291
Thrb	Ubap2l	69.7646773425378
Elf2	Zhx2	69.75187632870043
Rarg	Slc9a3r2	69.75171931434335
Thrb	Atl3	69.60630254098271
Elf2	Mob4	69.59854571627329
Rxrb	Pik3cb	69.58220692652442
Thrb	Vps37a	69.46216363401507
Thrb	Safb	69.40867904776997
Thrb	Prpf40a	69.4036824732071
Thrb	Sucla2	69.28899367354539
Thrb	Tmem243	69.2258418964679
Elf2	Micu3	69.20394234805472
Thrb	Ilkap	69.09626211379549
Elf2	Ylpm1	69.08417610153782
Rxrg	Acot11	69.07693411025664
Vdr	Tmcc3	68.9232777715767
Rarg	Afap1l1	68.85992194124658
Elf2	Gm17276	68.73337970759162
Thrb	Smarca5	68.6745101402541
Elf2	Ankrd11	68.66621853515294
Vdr	Clvs1	68.65705501640218
Elf2	Prkacb	68.50077926786363
Thrb	Arhgap21	68.45227437278744
Thrb	Fdps	68.19143899842383
Rarg	Tshz3	68.1572251159827
Elf2	Dnajc21	68.11787380400169
Rarg	Arhgef15	68.07641560460557
Thrb	Gm15802	68.04454951062408
Thrb	Mertk	68.04131478925821
Rxrg	Gm45012	67.98909595472031
Thrb	Matr3	67.9619272327006
Thrb	Agtr1b	67.8735926518386
Thrb	Fdx1	67.83121153578928
Elf2	Magi1	67.83054554472379
Elf2	Mbd5	67.80089731294082
Rarg	Gm4070	67.7992271540421
Elf2	Akap7	67.5919860126532
Thrb	Snap91	67.55738335173947
Elf2	Tnrc6b	67.54451392767511
Nr2f1	Mdfic	67.47281406693462
Rarg	Cd93	67.45860157119621
Rarg	Ncoa3	67.35050391093895
Thrb	Echdc2	67.32275452825925
Rxrg	Ces1d	67.30225225559106
Thrb	Tmem170b	67.28470983790491
Thrb	Slc41a1	67.22619087719075
Elf2	Herpud2	67.22531369743066
Elf2	Mga	67.22087902918507
Thrb	Wtap	67.18194158927776
Thrb	Rhoj	67.10130024780301
Thrb	D17Wsu92e	67.09650181764714
Elf2	Gm41496	67.0543116665718
Thrb	B3galnt2	67.0055053847777
Thrb	Mindy1	66.89724513644809
Nr2f1	Cep112	66.81674389276917
Elf2	Wdfy2	66.79505306827792
Thrb	Magi2	66.57611254807163
Rxrg	Celf2	66.51671499565177
Thrb	Gm44511	66.4746218440815
Thrb	Hadh	66.45982126321861
Thrb	Hadha	66.42827143062534
Thrb	Hnrnph1	66.18782152276128
Thrb	Sh3bp5	66.1874187691799
Thrb	Emcn	66.16709298951203
Thrb	Cnot4	66.07415442903014
Thrb	Pds5a	66.03904805117165
Thrb	Stat6	66.01569303463246
Elf2	Mboat1	65.95385412507599
Elf2	Srsf2	65.9121242325434
Nr2f1	Adk	65.84892211535669
Thrb	Hnrnpul1	65.7659189643313
Thrb	Zfp609	65.73715064980588
Thrb	Scfd2	65.65997096981015
Elf2	Pspc1	65.59169077486929
Elf2	Ubap2l	65.54596009908305
Elf2	Zfpm2	65.50599085665674
Thrb	Ptk2	65.48340488642593
Thrb	Ambra1	65.46912639216555
Thrb	Usp9x	65.44774556354449
Elf2	Gm11827	65.41655945807537
Thrb	Iscu	65.39685065730633
Thrb	Pcbp2	65.37403313592566
Thrb	Sema6a	65.3029234762471
Elf2	Hacd3	65.27674048830809
Thrb	Prdm10	65.26489333838596
Thrb	Ano10	65.24007420460013
Rxrg	Etfrf1	65.20184021738748
Elf2	Cntln	65.19675128182996
Thrb	Pnpt1	65.15882452783934
Elf2	Gm32443	65.15633046328792
Thrb	Cntrl	65.14304896609802
Thrb	Rpl3-ps1	65.01632947605779
Elf2	Klf3	64.84103675467784
Thrb	Hecw2	64.73329351153741
Thrb	4930447A16Rik	64.64956117056222
Rarg	Ehd3	64.63004314840263
Vdr	Kcnk2	64.62491932315609
Vdr	Cplane1	64.61725499477124
Vdr	Gab2	64.60285006991424
Elf2	Rab2a	64.56869420075839
Elf2	D7Ertd443e	64.56313382913606
Thrb	Clasp2	64.55211814695468
Thrb	Fam155a	64.49364500520103
Thrb	Aasdhppt	64.44071913354645
Thrb	Emsy	64.37775866383805
Thrb	Stau2	64.35862227356029
Thrb	Gas6	64.32964807001983
Thrb	Nup214	64.26208090824537
Vdr	Arhgef28	64.25440559203365
Thrb	Gin1	64.23348384478062
Thrb	Stx5a	64.18949689271713
Thrb	Sorbs2	64.17114586666669
Elf2	Hectd1	64.0076833849982
Thrb	Dtnb	63.89712224198216
Thrb	Nadk2	63.74701236018839
Thrb	Ccnl1	63.71432041834408
Thrb	Etfrf1	63.694728406649546
Elf2	Pds5a	63.67385188810678
Thrb	D630024D03Rik	63.664816481256736
Thrb	Plod2	63.62427316507904
Vdr	Chrna3	63.59360964331541
Elf2	Rab3gap2	63.452094432486156
Thrb	Ndfip1	63.38258733123998
Thrb	Taok3	63.362733284776674
Elf2	Rtn4	63.34048219683446
Elf2	Farp1	63.33752706009589
Rarg	Arhgap26.1	63.310788104705104
Elf2	Abr	63.26183979669
Thrb	Gtf3c1	63.250945766897765
Rarg	Ephb1	63.178390331625195
Elf2	Gm39526	63.17547120287404
Vdr	Frmd4b	63.13026070793175
Thrb	Stk38	62.98863920372941
Thrb	Rnh1	62.93947894466654
Elf2	Gm44511	62.850902667849574
Thrb	Gm17491	62.74991127399641
Elf2	Fip1l1	62.684208660374125
Thrb	Ylpm1	62.518847980533245
Elf2	Prpf40a	62.46673153360339
Thrb	Gnl2	62.446010863557014
Elf2	Golph3	62.319958594366014
Rarg	Pecam1	62.26377824160562
Vdr	Rps6ka6	62.152898210783654
Thrb	Fat4	62.12174517267623
Thrb	Dnajc11	61.990814374378374
Elf2	Zc3h12c	61.91613482473101
Elf2	Rbm39	61.876988333712085
Elf2	Cyfip2	61.87549346684765
Elf2	Gm6542	61.84266410999633
Thrb	Braf	61.83275317071861
Elf2	Mboat2	61.809561931117464
Thrb	Stk40	61.78718188307996
Thrb	Yars	61.73557766720607
Thrb	Rchy1	61.6666492274709
Thrb	Lrch1	61.66049584726261
Elf2	Cdh2	61.52331972726986
Elf2	Nr6a1	61.31580468492142
Elf2	Ica1	61.304863747201566
Thrb	Usp3	61.304702388013744
Thrb	Pdlim2	61.28706056308053
Rxrg	Fabp4	61.10240617491398
Elf2	Id2	61.074962187869374
Elf2	Gm6712	60.93186563787327
Elf2	Sec61g	60.9147507649529
Thrb	Clasp1	60.84731903264982
Elf2	Akap10	60.70864536976118
Thrb	Plgrkt	60.686191425190515
Thrb	Apbb2	60.643039205455
Thrb	Zbtb7a	60.63145638732838
Elf2	BC005537	60.58605048037438
Nr2f1	Gas5	60.57677377493292
Rxrg	Ucp1	60.56383034389388
Elf2	Ambra1	60.544468205281056
Elf2	Zfp827	60.50974173064699
Thrb	Gng12	60.4477064726645
Thrb	Rasgrp3	60.29674016268323
Elf2	Ccnd2	60.228441620113024
Rxrg	Cd36	60.21506365249048
Thrb	Smarca2	60.16959972790556
Thrb	Gm32443	60.12919889311181
Thrb	Psmd13	60.07563686400453
Thrb	Akap8l	60.040170128353495
Elf2	Lmln	60.00869951992554
Elf2	Dnmt3a	59.95325460850169
Elf2	Dip2c	59.85479940254384
Rarg	Cald1	59.84118257859603
Thrb	Plppr2	59.76152137542574
Elf2	Cnot4	59.74083009757141
Thrb	Tra2b	59.72112226204722
Rxrg	Atp1a2	59.67265186034528
Thrb	Tbce	59.63911864077541
Elf2	Pde10a	59.60267680388947
Elf2	Gpatch2	59.601504183668126
Elf2	Cwc27	59.43676435226871
Elf2	Ccar1	59.431904887171015
Thrb	Opa1	59.40796217249511
Vdr	Dnm3	59.16755659373884
Thrb	Papola	59.1122481276374
Thrb	Faf1	58.981150496306554
Nr2f1	Camk2d	58.876074804278275
Elf2	Kdm3b	58.85864717371662
Elf2	Xrn1	58.75621692724165
Vdr	Dscaml1	58.74306054762106
Thrb	Shank3	58.57700871656353
Thrb	Aff1	58.54801081461969
Thrb	Taf15	58.372739390548446
Thrb	Cd300a	58.359151722308425
Rxrg	Thrsp	58.29927651113995
Elf2	Cbx6	58.23953478949617
Thrb	Ap5m1	58.19904963382671
Thrb	Ccdc151	58.17522651613282
Thrb	Adipor1	58.12269214285178
Thrb	Gnai1	58.07240206208486
Rxrg	Acacb	58.016942042384464
Elf2	Casd1	57.996575906236046
Elf2	Atp2c1	57.97130712293771
Rarg	Rapgef3	57.949559799277694
Rxrg	Ormdl3	57.94155369016231
Vdr	Scn2a	57.92459997203286
Thrb	Pgam1	57.90123951684507
Thrb	Srgap3	57.83376043219336
Elf2	Ube3a	57.791526124643475
Thrb	Ep400	57.594878385314814
Elf2	Mrps28	57.5899510564078
Vdr	Lonrf2	57.54359498857644
Elf2	Lonp1	57.469640685621556
Elf2	Dtnb	57.44217178714837
Thrb	Clip1	57.396236959112564
Rarg	Ahr	57.322303796777646
Thrb	Cd34	57.29125013946884
Thrb	Serpinb1c	57.26653676945897
Elf2	Igf2bp1	57.25313288194228
Elf2	Etv1	57.22162042665743
Vdr	Wdr35	57.18542329401841
Elf2	Gm20732	57.07995838607069
Nr2f1	Cpe	57.06251378229925
