Regulator	Target	MI	pvalue
Fosb	Tsc22d3	1.447970313291767	4.737510383989729E-7
Top2a	Ttk	1.7359935268511073	9.044750415299063E-4
Nr3c2	Plcxd3	1.125384434166413	9.044750415299063E-4
Zmynd15	Gm40645	1.7955040852082125	2.1949162487544527E-5
Zfp804a	A330076H08Rik	1.9471840226633157	9.229284003708926E-9
Hnf4a	Azgp1	1.7376436494375536	1.6986412276764895E-10
Maf	Tspan33	1.6711310472101149	4.737510383989729E-7
Sox10	Gm1966	1.9179815377571647	1.6986412276764895E-10
Klf2	Pla2g4a	1.6434553549631659	1.6986412276764895E-10
Mafb	Mmp13	2.2970149572287983	1.6986412276764895E-10
Ahr	Gm8369	1.6333677410412129	9.044750415299063E-4
Mafb	Col4a2	0.7263135750118879	0.03263817847320993
Gli2	Mybpc2	2.243501787554929	0.03263817847320993
Top2a	Ndc80	2.350521816584786	1.6986412276764895E-10
Gata4	Grm1	1.8481469767817775	9.229284003708926E-9
Gata4	Grm3	1.860094394310437	2.1949162487544527E-5
Sox11	Arl5c	2.638949749878289	2.1949162487544527E-5
Cbfa2t3	Card11	1.6724992778756824	4.737510383989729E-7
Lyl1	Ccr1	1.8365819303219517	0.03263817847320993
Sox11	Cyp3a13	2.1379741859897448	0.03263817847320993
Ebf1	Il16	1.2087568696432336	1.6986412276764895E-10
Tcf15	4930523C07Rik	1.4663813696055232	4.737510383989729E-7
Runx1t1	AC113458.1	1.5577072452118785	4.737510383989729E-7
Nkx2-2	L3mbtl4	2.4710250388605677	9.229284003708926E-9
Sox10	Tal1	1.6959379330239461	9.229284003708926E-9
Zmynd15	Cyp4f18	1.7009209087481059	2.1949162487544527E-5
Top2a	Olfr111	1.7930488506492737	2.1949162487544527E-5
Ikzf3	Blk	2.0414822680192555	1.6986412276764895E-10
Ahr	5430427O19Rik	1.7685373074535375	4.737510383989729E-7
Tfec	Pip4k2a	1.3005160093186288	1.6986412276764895E-10
Nr4a3	Slc1a2	2.0529617803843068	1.6986412276764895E-10
Vav1	Blnk	2.0813355133896283	1.6986412276764895E-10
Lef1	Alas2	1.2459576396509382	9.044750415299063E-4
Gata3	Rgs17	1.9251260524361296	9.044750415299063E-4
Fosb	Foxp2	1.5033575754153345	2.1949162487544527E-5
Gli2	Hmcn1	1.568449438869927	1.6986412276764895E-10
Prdm16	Cyp4a32	1.2826703948728455	2.1949162487544527E-5
